Id,Precinct,For,Against,Totals,TabName,CountyOBJECTID,Cnty_Name,Cnty_No,CountyFIPS
102,DECATUR-QUINN,176,128,304,Burt,11,Burt,11,21
103,EVERETT-LOGAN,85,105,190,Burt,11,Burt,11,21
104,LYONS CITY,233,154,387,Burt,11,Burt,11,21
105,OAKLAND I,213,94,307,Burt,11,Burt,11,21
106,OAKLAND II,182,100,282,Burt,11,Burt,11,21
107,SILVERCREEK-SUMMIT,177,124,301,Burt,11,Burt,11,21
108,TEKAMAH I,290,148,438,Burt,11,Burt,11,21
109,TEKAMAH II,254,160,414,Burt,11,Burt,11,21
110,Linwood-Skull Creek-Platte,155,154,309,Butler,12,Butler,12,23
111,Savannah-Alexis,344,249,593,Butler,12,Butler,12,23
112,Summit-Reading,209,131,340,Butler,12,Butler,12,23
113,Franklin-Bone Creek,162,113,275,Butler,12,Butler,12,23
114,Oak Creek-Center,200,154,354,Butler,12,Butler,12,23
115,Union-Olive,117,125,242,Butler,12,Butler,12,23
116,Read-Ulysses,119,132,251,Butler,12,Butler,12,23
117,Plum Creek-Richardson,158,158,316,Butler,12,Butler,12,23
118,First Ward,205,140,345,Butler,12,Butler,12,23
119,Second Ward,221,159,380,Butler,12,Butler,12,23
120,Third Ward,283,179,462,Butler,12,Butler,12,23
121,Tipton,736,389,1125,Cass,13,Cass,13,25
122,McKelverly,142,98,240,Cass,13,Cass,13,25
123,Salt Creek,290,169,459,Cass,13,Cass,13,25
124,Stove Creek,328,188,516,Cass,13,Cass,13,25
125,Murdock,232,130,362,Cass,13,Cass,13,25
126,South Bend,398,178,576,Cass,13,Cass,13,25
127,Buccaneer Bay,613,216,829,Cass,13,Cass,13,25
128,Center,171,124,295,Cass,13,Cass,13,25
129,East Louisville,305,141,446,Cass,13,Cass,13,25
130,West Louisville,347,209,556,Cass,13,Cass,13,25
131,Avoca,152,93,245,Cass,13,Cass,13,25
132,Mount Pleasant,76,53,129,Cass,13,Cass,13,25
133,Eight Mile Grove,417,195,612,Cass,13,Cass,13,25
134,Nehawka,93,75,168,Cass,13,Cass,13,25
135,Liberty,194,120,314,Cass,13,Cass,13,25
136,North Rock Bluff,402,165,567,Cass,13,Cass,13,25
137,South Rock Bluff,657,329,986,Cass,13,Cass,13,25
138,West Rock Bluff,198,119,317,Cass,13,Cass,13,25
139,North Plattsmouth,319,151,470,Cass,13,Cass,13,25
140,South Plattsmouth,448,267,715,Cass,13,Cass,13,25
141,Weeping Water 1st Ward,168,97,265,Cass,13,Cass,13,25
142,Weeping Water 2nd Ward,185,81,266,Cass,13,Cass,13,25
143,1st Ward - 1st Precinct,215,92,307,Cass,13,Cass,13,25
144,1st Ward - 2nd Precinct,174,126,300,Cass,13,Cass,13,25
145,2nd Ward - 1st Precinct,226,110,336,Cass,13,Cass,13,25
146,2nd Ward - 2nd Precinct,190,102,292,Cass,13,Cass,13,25
147,3rd Ward - 1st Precinct,211,117,328,Cass,13,Cass,13,25
148,3rd Ward - 2nd Precinct,194,99,293,Cass,13,Cass,13,25
149,4th Ward - 1st Precinct,152,75,227,Cass,13,Cass,13,25
150,4th Ward - 2nd Precinct,214,108,322,Cass,13,Cass,13,25
151,Precinct 1 (1),95,87,182,Cedar,14,Cedar,14,27
152,Precinct 2 (2-3),197,194,391,Cedar,14,Cedar,14,27
