Id,Precinct,For,Against,Totals,TabName,CountyOBJECTID,Cnty_Name,Cnty_No,CountyFIPS
534,04-16,732,214,946,Douglas,28,Douglas,28,55
535,04-17,482,182,664,Douglas,28,Douglas,28,55
536,04-18,426,172,598,Douglas,28,Douglas,28,55
537,04-19,696,240,936,Douglas,28,Douglas,28,55
538,04-20,643,232,875,Douglas,28,Douglas,28,55
539,04-21,911,273,1184,Douglas,28,Douglas,28,55
540,05-01,958,276,1234,Douglas,28,Douglas,28,55
541,05-02,1061,233,1294,Douglas,28,Douglas,28,55
542,05-03,1074,269,1343,Douglas,28,Douglas,28,55
543,05-05,690,242,932,Douglas,28,Douglas,28,55
544,05-06,635,214,849,Douglas,28,Douglas,28,55
545,05-07,1207,364,1571,Douglas,28,Douglas,28,55
546,05-09,930,284,1214,Douglas,28,Douglas,28,55
547,05-10,842,297,1139,Douglas,28,Douglas,28,55
548,05-11,999,323,1322,Douglas,28,Douglas,28,55
549,05-12,879,351,1230,Douglas,28,Douglas,28,55
550,05-13,1173,397,1570,Douglas,28,Douglas,28,55
551,05-14,985,328,1313,Douglas,28,Douglas,28,55
552,05-15,968,259,1227,Douglas,28,Douglas,28,55
553,05-16,862,290,1152,Douglas,28,Douglas,28,55
554,05-17,1040,312,1352,Douglas,28,Douglas,28,55
555,05-18,991,311,1302,Douglas,28,Douglas,28,55
556,05-19,704,271,975,Douglas,28,Douglas,28,55
557,05-23,937,229,1166,Douglas,28,Douglas,28,55
558,05-24,854,289,1143,Douglas,28,Douglas,28,55
559,05-25,1035,327,1362,Douglas,28,Douglas,28,55
560,05-26,634,152,786,Douglas,28,Douglas,28,55
561,05-27,706,215,921,Douglas,28,Douglas,28,55
562,05-28,769,271,1040,Douglas,28,Douglas,28,55
563,05-30,1018,298,1316,Douglas,28,Douglas,28,55
564,05-31,983,299,1282,Douglas,28,Douglas,28,55
565,05-32,578,186,764,Douglas,28,Douglas,28,55
566,05-33,279,63,342,Douglas,28,Douglas,28,55
567,05-34,370,134,504,Douglas,28,Douglas,28,55
568,05-35,1128,365,1493,Douglas,28,Douglas,28,55
569,05-36,886,276,1162,Douglas,28,Douglas,28,55
570,06-02,916,208,1124,Douglas,28,Douglas,28,55
571,06-03,858,270,1128,Douglas,28,Douglas,28,55
572,06-04,903,253,1156,Douglas,28,Douglas,28,55
573,06-07,967,211,1178,Douglas,28,Douglas,28,55
574,06-08,1085,217,1302,Douglas,28,Douglas,28,55
575,06-09,1038,275,1313,Douglas,28,Douglas,28,55
576,06-10,1038,291,1329,Douglas,28,Douglas,28,55
577,06-11,1119,322,1441,Douglas,28,Douglas,28,55
578,06-12,751,280,1031,Douglas,28,Douglas,28,55
579,06-13,1138,429,1567,Douglas,28,Douglas,28,55
580,06-14,1083,337,1420,Douglas,28,Douglas,28,55
581,06-15,823,214,1037,Douglas,28,Douglas,28,55
582,06-16,999,312,1311,Douglas,28,Douglas,28,55
583,06-17,800,220,1020,Douglas,28,Douglas,28,55
584,06-18,264,88,352,Douglas,28,Douglas,28,55
585,06-19,988,339,1327,Douglas,28,Douglas,28,55
586,06-20,923,326,1249,Douglas,28,Douglas,28,55
587,06-21,992,302,1294,Douglas,28,Douglas,28,55
588,06-22,1178,386,1564,Douglas,28,Douglas,28,55
589,06-23,559,229,788,Douglas,28,Douglas,28,55
590,06-24,902,334,1236,Douglas,28,Douglas,28,55
591,06-25,905,171,1076,Douglas,28,Douglas,28,55
592,06-26,818,216,1034,Douglas,28,Douglas,28,55
593,06-27,835,217,1052,Douglas,28,Douglas,28,55
594,06-28,983,285,1268,Douglas,28,Douglas,28,55
595,06-29,753,234,987,Douglas,28,Douglas,28,55
596,06-30,496,162,658,Douglas,28,Douglas,28,55
597,06-31,958,277,1235,Douglas,28,Douglas,28,55
598,06-32,1073,403,1476,Douglas,28,Douglas,28,55
599,06-33,1025,432,1457,Douglas,28,Douglas,28,55
600,06-34,1237,329,1566,Douglas,28,Douglas,28,55
601,06-35,577,184,761,Douglas,28,Douglas,28,55
602,06-36,661,208,869,Douglas,28,Douglas,28,55
603,07-01,828,270,1098,Douglas,28,Douglas,28,55
604,07-02,1020,290,1310,Douglas,28,Douglas,28,55
605,07-03,958,289,1247,Douglas,28,Douglas,28,55
606,07-04,963,306,1269,Douglas,28,Douglas,28,55
607,07-05,997,253,1250,Douglas,28,Douglas,28,55
608,07-09,946,278,1224,Douglas,28,Douglas,28,55
609,07-10,949,289,1238,Douglas,28,Douglas,28,55
610,07-11,952,274,1226,Douglas,28,Douglas,28,55
611,07-12,1015,271,1286,Douglas,28,Douglas,28,55
612,07-13,996,343,1339,Douglas,28,Douglas,28,55
613,07-14,989,321,1310,Douglas,28,Douglas,28,55
614,07-15,772,241,1013,Douglas,28,Douglas,28,55
615,07-16,768,242,1010,Douglas,28,Douglas,28,55
616,07-17,866,273,1139,Douglas,28,Douglas,28,55
617,07-18,932,271,1203,Douglas,28,Douglas,28,55
618,07-19,1047,254,1301,Douglas,28,Douglas,28,55
619,07-20,1034,270,1304,Douglas,28,Douglas,28,55
620,07-21,1086,295,1381,Douglas,28,Douglas,28,55
621,07-24,840,282,1122,Douglas,28,Douglas,28,55
622,07-25,999,253,1252,Douglas,28,Douglas,28,55
623,07-26,960,289,1249,Douglas,28,Douglas,28,55
624,07-27,916,283,1199,Douglas,28,Douglas,28,55
625,07-28,511,172,683,Douglas,28,Douglas,28,55
626,07-29,860,247,1107,Douglas,28,Douglas,28,55
627,07-30,860,255,1115,Douglas,28,Douglas,28,55
628,07-31,837,214,1051,Douglas,28,Douglas,28,55
629,07-32,982,271,1253,Douglas,28,Douglas,28,55
630,07-33,631,184,815,Douglas,28,Douglas,28,55
631,07-34,840,238,1078,Douglas,28,Douglas,28,55
632,07-35,876,242,1118,Douglas,28,Douglas,28,55
633,08-01,453,142,595,Douglas,28,Douglas,28,55
634,08-02,312,111,423,Douglas,28,Douglas,28,55
635,08-03,338,103,441,Douglas,28,Douglas,28,55
636,08-04,431,180,611,Douglas,28,Douglas,28,55
637,08-05,340,133,473,Douglas,28,Douglas,28,55
638,08-06,300,102,402,Douglas,28,Douglas,28,55
639,08-07,519,183,702,Douglas,28,Douglas,28,55
640,08-08,278,118,396,Douglas,28,Douglas,28,55
641,08-09,475,187,662,Douglas,28,Douglas,28,55
642,08-10,95,43,138,Douglas,28,Douglas,28,55
643,08-11,807,211,1018,Douglas,28,Douglas,28,55
644,08-12,1166,360,1526,Douglas,28,Douglas,28,55
645,08-13,996,411,1407,Douglas,28,Douglas,28,55
646,08-14,660,284,944,Douglas,28,Douglas,28,55
647,08-15,1008,342,1350,Douglas,28,Douglas,28,55
648,08-16,1101,287,1388,Douglas,28,Douglas,28,55
649,08-17,1058,287,1345,Douglas,28,Douglas,28,55
650,08-19,748,250,998,Douglas,28,Douglas,28,55
651,08-20,1031,347,1378,Douglas,28,Douglas,28,55
652,08-23,678,215,893,Douglas,28,Douglas,28,55
653,08-24,731,278,1009,Douglas,28,Douglas,28,55
654,08-27,60,20,80,Douglas,28,Douglas,28,55
655,08-39,418,204,622,Douglas,28,Douglas,28,55
656,08-40,1119,501,1620,Douglas,28,Douglas,28,55
657,08-41,729,373,1102,Douglas,28,Douglas,28,55
658,08-42,1142,358,1500,Douglas,28,Douglas,28,55
659,08-43,1209,373,1582,Douglas,28,Douglas,28,55
660,08-44,620,146,766,Douglas,28,Douglas,28,55
661,08-45,1049,349,1398,Douglas,28,Douglas,28,55
662,08-46,963,324,1287,Douglas,28,Douglas,28,55
663,08-47,1015,314,1329,Douglas,28,Douglas,28,55
664,08-48,890,335,1225,Douglas,28,Douglas,28,55
665,08-49,1358,491,1849,Douglas,28,Douglas,28,55
666,08-50,625,199,824,Douglas,28,Douglas,28,55
667,08-51,1182,354,1536,Douglas,28,Douglas,28,55
668,08-52,651,175,826,Douglas,28,Douglas,28,55
669,08-53,595,173,768,Douglas,28,Douglas,28,55
670,08-55,1403,438,1841,Douglas,28,Douglas,28,55
671,08-56,854,300,1154,Douglas,28,Douglas,28,55
672,08-57,1082,344,1426,Douglas,28,Douglas,28,55
673,08-58,801,253,1054,Douglas,28,Douglas,28,55
674,08-59,1181,354,1535,Douglas,28,Douglas,28,55
675,08-60,806,247,1053,Douglas,28,Douglas,28,55
676,08-61,1063,370,1433,Douglas,28,Douglas,28,55
677,Benkelman I & Ough,177,175,352,Dundy,29,Dundy,29,57
678,Benkelman II,144,155,299,Dundy,29,Dundy,29,57
679,Benkelman III,58,86,144,Dundy,29,Dundy,29,57
680,Haigler,54,65,119,Dundy,29,Dundy,29,57
681,Exeter Township,171,147,318,Fillmore,30,Fillmore,30,59
682,Fairmont Township,146,113,259,Fillmore,30,Fillmore,30,59
683,West Blue/Grafton/Bennett,112,93,205,Fillmore,30,Fillmore,30,59
684,South Geneva & Geneva Township,285,170,455,Fillmore,30,Fillmore,30,59
685,North Geneva,254,160,414,Fillmore,30,Fillmore,30,59
686,Madison Township,178,98,276,Fillmore,30,Fillmore,30,59
687,Liberty/Glengary/Franklin,169,156,325,Fillmore,30,Fillmore,30,59
688,Chelsea/Stanton/Belle Prairie,83,94,177,Fillmore,30,Fillmore,30,59
689,Momence/Bryant/Hamilton,184,145,329,Fillmore,30,Fillmore,30,59
690,Hildreth,213,204,417,Franklin,31,Franklin,31,61
691,Campbell,161,144,305,Franklin,31,Franklin,31,61
692,West Franklin,265,255,520,Franklin,31,Franklin,31,61
693,East Franklin,152,163,315,Franklin,31,Franklin,31,61
694,Eustis,165,168,333,Frontier,32,Frontier,32,63
695,Stockville,102,144,246,Frontier,32,Frontier,32,63
696,Curtis,220,189,409,Frontier,32,Frontier,32,63
697,Maywood,95,102,197,Frontier,32,Frontier,32,63
698,Garden Prairie,43,57,100,Frontier,32,Frontier,32,63
699,Arapahoe,344,272,616,Furnas,33,Furnas,33,65
700,Beaver City,174,200,374,Furnas,33,Furnas,33,65
701,Cambridge,361,281,642,Furnas,33,Furnas,33,65
702,Edison,54,44,98,Furnas,33,Furnas,33,65
703,Hendley,39,56,95,Furnas,33,Furnas,33,65
704,Holbrook,77,81,158,Furnas,33,Furnas,33,65
705,Oxford,168,154,322,Furnas,33,Furnas,33,65
706,Wilsonville,46,38,84,Furnas,33,Furnas,33,65
707,Adams Area,637,428,1065,Gage,34,Gage,34,67
708,Odell Area,262,239,501,Gage,34,Gage,34,67
709,Filley/Virginia Area,308,255,563,Gage,34,Gage,34,67
710,NW Quad Area,705,496,1201,Gage,34,Gage,34,67
711,Homestead Area,407,318,725,Gage,34,Gage,34,67
712,Wymore Area,532,395,927,Gage,34,Gage,34,67
713,Beatrice Ward 1,822,514,1336,Gage,34,Gage,34,67
714,Beatrice Ward 2,831,536,1367,Gage,34,Gage,34,67
715,Beatrice Ward 3,586,401,987,Gage,34,Gage,34,67
716,Beatrice Ward 4,849,574,1423,Gage,34,Gage,34,67
717,Lisco,46,49,95,Garden,35,Garden,35,69
718,Oshkosh 1,161,134,295,Garden,35,Garden,35,69
719,Lost Creek,192,201,393,Garden,35,Garden,35,69
720,Blue Creek,140,137,277,Garden,35,Garden,35,69
721,(Countywide) Nebraska PPD,0,0,0,Garden,35,Garden,35,69
722,Ward I City of Burwell,146,134,280,Garfield,36,Garfield,36,71
723,Ward II City of Burwell,119,121,240,Garfield,36,Garfield,36,71
724,Rural Garfield County,172,221,393,Garfield,36,Garfield,36,71
725,1,173,199,372,Gosper,37,Gosper,37,73
726,2,214,169,383,Gosper,37,Gosper,37,73
727,3,107,95,202,Gosper,37,Gosper,37,73
728,4,31,39,70,Gosper,37,Gosper,37,73
729,Grant County,153,203,356,Grant,38,Grant,38,75
730,Scotia,123,100,223,Greeley,39,Greeley,39,77
731,Spalding,196,166,362,Greeley,39,Greeley,39,77
732,Wolbach,91,72,163,Greeley,39,Greeley,39,77
733,Greeley,168,138,306,Greeley,39,Greeley,39,77
734,(Countywide) Loup Valleys Rural PPD,0,0,0,Greeley,39,Greeley,39,77
735,One,583,322,905,Hall,40,Hall,40,79
736,Two,253,147,400,Hall,40,Hall,40,79
737,Three,572,315,887,Hall,40,Hall,40,79
738,Four,506,296,802,Hall,40,Hall,40,79
739,Five,711,338,1049,Hall,40,Hall,40,79
740,Six,667,337,1004,Hall,40,Hall,40,79
741,Seven,625,298,923,Hall,40,Hall,40,79
742,Eight,720,362,1082,Hall,40,Hall,40,79
743,Nine,768,427,1195,Hall,40,Hall,40,79
744,Ten,655,378,1033,Hall,40,Hall,40,79
745,Eleven,603,349,952,Hall,40,Hall,40,79
746,Twelve,453,252,705,Hall,40,Hall,40,79
747,Thirteen,943,519,1462,Hall,40,Hall,40,79
748,Fourteen,999,604,1603,Hall,40,Hall,40,79
749,Fifteen,967,540,1507,Hall,40,Hall,40,79
750,Sixteen,728,390,1118,Hall,40,Hall,40,79
751,Seventeen,489,279,768,Hall,40,Hall,40,79
752,Eighteen,544,378,922,Hall,40,Hall,40,79
753,Nineteen,339,243,582,Hall,40,Hall,40,79
754,Twenty,0,0,0,Hall,40,Hall,40,79
755,Twenty-one,380,277,657,Hall,40,Hall,40,79
756,Twenty-two,593,433,1026,Hall,40,Hall,40,79
757,Twenty-three,245,182,427,Hall,40,Hall,40,79
758,Twenty-four,601,429,1030,Hall,40,Hall,40,79
759,Twenty-five,0,0,0,Hall,40,Hall,40,79
760,Twenty-six,0,0,0,Hall,40,Hall,40,79
761,Precinct 1,92,104,196,Hamilton,41,Hamilton,41,81
762,Precinct 2,219,232,451,Hamilton,41,Hamilton,41,81
763,Precinct 3,243,214,457,Hamilton,41,Hamilton,41,81
764,Precinct 4,73,83,156,Hamilton,41,Hamilton,41,81
765,Precinct 5,259,220,479,Hamilton,41,Hamilton,41,81
766,Precinct 6,120,116,236,Hamilton,41,Hamilton,41,81
767,Precinct 7,216,161,377,Hamilton,41,Hamilton,41,81
768,Precinct 8,157,149,306,Hamilton,41,Hamilton,41,81
769,Ward 1,539,373,912,Hamilton,41,Hamilton,41,81
770,Ward 2,397,253,650,Hamilton,41,Hamilton,41,81
771,Ward 3,459,263,722,Hamilton,41,Hamilton,41,81
772,Republican City,99,118,217,Harlan,42,Harlan,42,83
773,Huntley-Ragan,100,108,208,Harlan,42,Harlan,42,83
774,East Alma,106,111,217,Harlan,42,Harlan,42,83
775,Central Alma,133,108,241,Harlan,42,Harlan,42,83
776,West Alma,126,94,220,Harlan,42,Harlan,42,83
777,Orleans,143,149,292,Harlan,42,Harlan,42,83
778,Stamford,59,100,159,Harlan,42,Harlan,42,83
779,Oxford,100,115,215,Harlan,42,Harlan,42,83
780,Precinct 1,69,86,155,Hayes,43,Hayes,43,85
781,Precinct 2,75,91,166,Hayes,43,Hayes,43,85
782,Precinct 3,70,91,161,Hayes,43,Hayes,43,85
783,Culbertson,247,279,526,Hitchcock,44,Hitchcock,44,87
784,Palisade,83,75,158,Hitchcock,44,Hitchcock,44,87
785,Stratton,125,166,291,Hitchcock,44,Hitchcock,44,87
786,Trenton,184,175,359,Hitchcock,44,Hitchcock,44,87
787,01 Antelope, Iowa & Verdigris,86,108,194,Holt,45,Holt,45,89
788,02 Atkinson & Surrounding Twps,248,321,569,Holt,45,Holt,45,89
789,03 Chambers & Surrounding Twps,205,211,416,Holt,45,Holt,45,89
790,04 Emmet & Northeast Twps,82,141,223,Holt,45,Holt,45,89
791,05 Ewing, Golden & Deloit,147,167,314,Holt,45,Holt,45,89
792,06 Inman Twp,77,69,146,Holt,45,Holt,45,89
793,07 Stuart & Cleveland Twps,266,178,444,Holt,45,Holt,45,89
794,08 Grattan & Shields Twps,227,253,480,Holt,45,Holt,45,89
795,09 Atkinson Ward I,316,293,609,Holt,45,Holt,45,89
796,10 O'Neill Ward I,272,216,488,Holt,45,Holt,45,89
797,11 O'Neill Ward II,243,244,487,Holt,45,Holt,45,89
798,12 O'Neill Ward III,134,139,273,Holt,45,Holt,45,89
799,13 O'Neill Ward IV,140,119,259,Holt,45,Holt,45,89
800,Precinct 1,206,181,387,Hooker,46,Hooker,46,91
801,St. Paul Ward I,369,270,639,Howard,47,Howard,47,93
802,St. Paul Ward II,463,371,834,Howard,47,Howard,47,93
803,Spring Creek,69,76,145,Howard,47,Howard,47,93
804,Elba,128,138,266,Howard,47,Howard,47,93
805,Posen,120,108,228,Howard,47,Howard,47,93
806,Dannebrog,233,175,408,Howard,47,Howard,47,93
807,Loup Fork,116,82,198,Howard,47,Howard,47,93
808,St. Libory,197,187,384,Howard,47,Howard,47,93
809,Plymouth-Gibson,215,160,375,Jefferson,48,Jefferson,48,95
810,Eureka-Washington,110,81,191,Jefferson,48,Jefferson,48,95
811,Lincoln-Meridian-Fairbury-Rich,155,144,299,Jefferson,48,Jefferson,48,95
812,Cub-Rock Creek,99,95,194,Jefferson,48,Jefferson,48,95
813,Jefferson-Pleasant-Newton,262,164,426,Jefferson,48,Jefferson,48,95
814,Buckley-Antelope-Endicott,215,206,421,Jefferson,48,Jefferson,48,95
815,Ward I,185,158,343,Jefferson,48,Jefferson,48,95
816,Ward II,154,104,258,Jefferson,48,Jefferson,48,95
817,Ward III,234,196,430,Jefferson,48,Jefferson,48,95
818,Ward IV,293,179,472,Jefferson,48,Jefferson,48,95
819,Nemaha I,182,119,301,Johnson,49,Johnson,49,97
820,Nemaha II,363,265,628,Johnson,49,Johnson,49,97
821,Sterling,335,242,577,Johnson,49,Johnson,49,97
822,Spring Creek,167,105,272,Johnson,49,Johnson,49,97
823,Todd Creek,82,76,158,Johnson,49,Johnson,49,97
824,Western,54,40,94,Johnson,49,Johnson,49,97
825,Lowell,53,45,98,Kearney,50,Kearney,50,99
826,Newark/Blaine,220,169,389,Kearney,50,Kearney,50,99
827,Logan/Hayes/Sherman,144,121,265,Kearney,50,Kearney,50,99
828,Liberty/Lincoln/May,108,128,236,Kearney,50,Kearney,50,99
829,Eaton,49,43,92,Kearney,50,Kearney,50,99
830,Mirage,270,187,457,Kearney,50,Kearney,50,99
831,Oneida,133,120,253,Kearney,50,Kearney,50,99
832,Cosmo/Grant,36,37,73,Kearney,50,Kearney,50,99
833,North,246,155,401,Kearney,50,Kearney,50,99
834,South,311,202,513,Kearney,50,Kearney,50,99
835,Center,295,197,492,Kearney,50,Kearney,50,99
836,FIRST WARD,187,143,330,Keith,51,Keith,51,101
837,SECOND WARD,224,171,395,Keith,51,Keith,51,101
838,THIRD WARD,173,159,332,Keith,51,Keith,51,101
839,FOURTH WARD,209,189,398,Keith,51,Keith,51,101
840,FIFTH WARD,353,261,614,Keith,51,Keith,51,101
841,BRULE,198,216,414,Keith,51,Keith,51,101
842,LOGAN,69,76,145,Keith,51,Keith,51,101
843,LONERGAN,134,139,273,Keith,51,Keith,51,101
844,PAXTON,231,185,416,Keith,51,Keith,51,101
845,RURAL OGALLALA,237,249,486,Keith,51,Keith,51,101
846,WHITETAIL,70,76,146,Keith,51,Keith,51,101
847,Garfield,79,100,179,Keya Paha,52,Keya Paha,52,103
848,Custer,74,61,135,Keya Paha,52,Keya Paha,52,103
849,Mills,50,90,140,Keya Paha,52,Keya Paha,52,103
850,1st Ward,393,283,676,Kimball,53,Kimball,53,105
851,2nd Ward,206,188,394,Kimball,53,Kimball,53,105
852,Antelope,140,171,311,Kimball,53,Kimball,53,105
853,Bushnell,79,65,144,Kimball,53,Kimball,53,105
854,Dix,90,119,209,Kimball,53,Kimball,53,105
855,Bloomfield Area,354,334,688,Knox,54,Knox,54,107
856,Crofton Area,409,365,774,Knox,54,Knox,54,107
857,Creighton Area,403,449,852,Knox,54,Knox,54,107
858,Center Area,91,106,197,Knox,54,Knox,54,107
859,Lindy/Santee Area,180,136,316,Knox,54,Knox,54,107
860,Niobrara Area,156,157,313,Knox,54,Knox,54,107
861,Verdigre Area,258,256,514,Knox,54,Knox,54,107
862,Wausa Area,263,278,541,Knox,54,Knox,54,107
863,1 A,418,138,556,Lancaster,55,Lancaster,55,109
864,1 A-1,819,248,1067,Lancaster,55,Lancaster,55,109
865,1 B,556,109,665,Lancaster,55,Lancaster,55,109
866,1 D-1,479,162,641,Lancaster,55,Lancaster,55,109
867,1 D-2,794,273,1067,Lancaster,55,Lancaster,55,109
868,1 D-4,594,209,803,Lancaster,55,Lancaster,55,109
869,1 D-5,459,165,624,Lancaster,55,Lancaster,55,109
870,1 D-6,657,206,863,Lancaster,55,Lancaster,55,109
871,1 D-7,436,134,570,Lancaster,55,Lancaster,55,109
872,1 D-8,592,219,811,Lancaster,55,Lancaster,55,109
873,1 D-9,623,228,851,Lancaster,55,Lancaster,55,109
874,1 D-10,935,337,1272,Lancaster,55,Lancaster,55,109
875,1 E-2,614,275,889,Lancaster,55,Lancaster,55,109
876,1 E-3,551,203,754,Lancaster,55,Lancaster,55,109
877,1 E-4,568,166,734,Lancaster,55,Lancaster,55,109
878,1 E-5,536,161,697,Lancaster,55,Lancaster,55,109
879,1 E-6,587,206,793,Lancaster,55,Lancaster,55,109
880,1 E-7,556,209,765,Lancaster,55,Lancaster,55,109
881,1 E-8,540,169,709,Lancaster,55,Lancaster,55,109
882,1 E-9,823,223,1046,Lancaster,55,Lancaster,55,109
883,1 F-1,599,230,829,Lancaster,55,Lancaster,55,109
884,1 F-2,533,221,754,Lancaster,55,Lancaster,55,109
885,1 F-3,1036,384,1420,Lancaster,55,Lancaster,55,109
886,2 A,638,157,795,Lancaster,55,Lancaster,55,109
887,2 C-1,642,203,845,Lancaster,55,Lancaster,55,109
888,2 C-2,375,136,511,Lancaster,55,Lancaster,55,109
889,2 C-3,548,241,789,Lancaster,55,Lancaster,55,109
890,2 D-1,711,251,962,Lancaster,55,Lancaster,55,109
891,2 D-2,626,243,869,Lancaster,55,Lancaster,55,109
892,2 D-3,331,114,445,Lancaster,55,Lancaster,55,109
893,2 D-5,1,0,1,Lancaster,55,Lancaster,55,109
894,3 A,665,149,814,Lancaster,55,Lancaster,55,109
895,3 D,160,25,185,Lancaster,55,Lancaster,55,109
896,4 A,558,115,673,Lancaster,55,Lancaster,55,109
897,5 B-1,656,126,782,Lancaster,55,Lancaster,55,109
898,5 C-1,390,120,510,Lancaster,55,Lancaster,55,109
899,5 C-3,477,125,602,Lancaster,55,Lancaster,55,109
900,5 E-3,599,208,807,Lancaster,55,Lancaster,55,109
901,5 E-4,556,168,724,Lancaster,55,Lancaster,55,109
902,5 E-5,476,120,596,Lancaster,55,Lancaster,55,109
903,5 E-6,655,194,849,Lancaster,55,Lancaster,55,109
904,5 E-7,518,142,660,Lancaster,55,Lancaster,55,109
905,5 E-8,610,187,797,Lancaster,55,Lancaster,55,109
906,5 E-9,601,180,781,Lancaster,55,Lancaster,55,109
907,6 A-1,737,124,861,Lancaster,55,Lancaster,55,109
908,6 D-2,708,155,863,Lancaster,55,Lancaster,55,109
909,6 E-1,573,117,690,Lancaster,55,Lancaster,55,109
910,6 E-2,628,122,750,Lancaster,55,Lancaster,55,109
911,6 F-1,608,182,790,Lancaster,55,Lancaster,55,109
912,7 A,588,174,762,Lancaster,55,Lancaster,55,109
913,7 D-2,628,153,781,Lancaster,55,Lancaster,55,109
914,8 A,332,81,413,Lancaster,55,Lancaster,55,109
915,8 C-2,652,156,808,Lancaster,55,Lancaster,55,109
916,9 A-1,526,86,612,Lancaster,55,Lancaster,55,109
917,9 B-1,468,106,574,Lancaster,55,Lancaster,55,109
918,9 C-1,629,122,751,Lancaster,55,Lancaster,55,109
919,9 D-1,447,87,534,Lancaster,55,Lancaster,55,109
920,9 E-1,608,121,729,Lancaster,55,Lancaster,55,109
921,9 E-2,682,99,781,Lancaster,55,Lancaster,55,109
922,9 E-4,613,89,702,Lancaster,55,Lancaster,55,109
923,9 E-5,668,69,737,Lancaster,55,Lancaster,55,109
924,9 F-1,631,145,776,Lancaster,55,Lancaster,55,109
925,9 F-2,673,174,847,Lancaster,55,Lancaster,55,109
926,9 F-3,553,158,711,Lancaster,55,Lancaster,55,109
927,9 F-4,489,139,628,Lancaster,55,Lancaster,55,109
928,9 F-5,568,152,720,Lancaster,55,Lancaster,55,109
929,9 F-9,367,129,496,Lancaster,55,Lancaster,55,109
930,9 F-10,403,125,528,Lancaster,55,Lancaster,55,109
931,9 F-11,410,146,556,Lancaster,55,Lancaster,55,109
932,9 G-1,642,161,803,Lancaster,55,Lancaster,55,109
933,9 G-2,514,124,638,Lancaster,55,Lancaster,55,109
934,9 G-3,459,124,583,Lancaster,55,Lancaster,55,109
935,9 G-4,581,183,764,Lancaster,55,Lancaster,55,109
936,9 G-5,499,124,623,Lancaster,55,Lancaster,55,109
937,9 G-6,476,146,622,Lancaster,55,Lancaster,55,109
938,9 G-7,436,111,547,Lancaster,55,Lancaster,55,109
939,9 G-8,627,139,766,Lancaster,55,Lancaster,55,109
940,9 G-9,466,135,601,Lancaster,55,Lancaster,55,109
941,9 H-1,572,169,741,Lancaster,55,Lancaster,55,109
942,9 H-2,549,173,722,Lancaster,55,Lancaster,55,109
943,9 H-3,590,145,735,Lancaster,55,Lancaster,55,109
944,9 H-4,553,134,687,Lancaster,55,Lancaster,55,109
945,9 H-5,504,104,608,Lancaster,55,Lancaster,55,109
946,9 H-6,556,156,712,Lancaster,55,Lancaster,55,109
947,9 H-7,492,168,660,Lancaster,55,Lancaster,55,109
948,9 H-8,883,257,1140,Lancaster,55,Lancaster,55,109
949,10 A,711,172,883,Lancaster,55,Lancaster,55,109
950,10 B-1,472,107,579,Lancaster,55,Lancaster,55,109
951,10 B-2,805,193,998,Lancaster,55,Lancaster,55,109
952,10 B-4,613,138,751,Lancaster,55,Lancaster,55,109
953,10 B-5,572,143,715,Lancaster,55,Lancaster,55,109
954,10 C-4,426,97,523,Lancaster,55,Lancaster,55,109
955,10 C-5,481,107,588,Lancaster,55,Lancaster,55,109
956,10 C-6,340,95,435,Lancaster,55,Lancaster,55,109
957,10 C-7,452,108,560,Lancaster,55,Lancaster,55,109
958,10 C-8,297,68,365,Lancaster,55,Lancaster,55,109
959,10 C-12,495,142,637,Lancaster,55,Lancaster,55,109
960,10 D-1,437,99,536,Lancaster,55,Lancaster,55,109
961,10 D-2,506,109,615,Lancaster,55,Lancaster,55,109
962,10 D-3,300,53,353,Lancaster,55,Lancaster,55,109
963,10 D-4,583,155,738,Lancaster,55,Lancaster,55,109
964,10 D-8,616,183,799,Lancaster,55,Lancaster,55,109
965,10 E-1,570,158,728,Lancaster,55,Lancaster,55,109
966,10 E-4,645,190,835,Lancaster,55,Lancaster,55,109
967,10 E-5,635,154,789,Lancaster,55,Lancaster,55,109
968,10 E-7,597,185,782,Lancaster,55,Lancaster,55,109
969,10 E-8,550,184,734,Lancaster,55,Lancaster,55,109
970,10 E-10,426,108,534,Lancaster,55,Lancaster,55,109
971,10 E-11,356,100,456,Lancaster,55,Lancaster,55,109
972,10 E-12,553,220,773,Lancaster,55,Lancaster,55,109
973,10 E-14,495,119,614,Lancaster,55,Lancaster,55,109
974,10 E-15,639,172,811,Lancaster,55,Lancaster,55,109
975,10 E-16,868,221,1089,Lancaster,55,Lancaster,55,109
976,10 E-17,550,162,712,Lancaster,55,Lancaster,55,109
977,10 F-1,399,119,518,Lancaster,55,Lancaster,55,109
978,10 F-2,284,100,384,Lancaster,55,Lancaster,55,109
979,10 F-3,407,104,511,Lancaster,55,Lancaster,55,109
980,10 F-4,541,124,665,Lancaster,55,Lancaster,55,109
981,10 F-5,565,143,708,Lancaster,55,Lancaster,55,109
982,10 F-6,411,131,542,Lancaster,55,Lancaster,55,109
983,10 F-7,575,164,739,Lancaster,55,Lancaster,55,109
984,10 F-10,497,131,628,Lancaster,55,Lancaster,55,109
985,10 F-11,687,160,847,Lancaster,55,Lancaster,55,109
986,10 F-12,493,144,637,Lancaster,55,Lancaster,55,109
987,10 F-14,700,207,907,Lancaster,55,Lancaster,55,109
