Id|Precinct|Bacon|Eastman|Schaeffer|Totals|TabName
281|Precinct 52|1724|1033|65|2822|Sarpy
282|Precinct 53|1223|875|81|2179|Sarpy
283|Precinct 54|1176|781|69|2026|Sarpy
284|Precinct 55|1501|918|93|2512|Sarpy
285|Precinct 56|904|599|46|1549|Sarpy
286|Precinct 57|834|753|71|1658|Sarpy
287|Precinct 58|976|329|41|1346|Sarpy
288|Precinct 59|887|384|41|1312|Sarpy
289|Precinct 60|785|395|59|1239|Sarpy
290|Precinct 61|2895|1142|104|4141|Sarpy
291|Precinct 62|1424|974|71|2469|Sarpy
